,Winner,Turn,Strategy,Goal
0,fuchsia,84,Passive,PP
1,royalblue,44,Aggressive,PP
2,black,84,Neutral,PP
3,black,65,Neutral,PP
4,fuchsia,57,Passive,PP
5,fuchsia,75,Passive,PP
6,royalblue,59,Aggressive,PP
7,royalblue,91,Aggressive,PP
8,fuchsia,71,Passive,PP
9,black,69,Neutral,PP
10,fuchsia,82,Passive,PP
11,black,41,Neutral,PP
12,black,53,Neutral,PP
13,fuchsia,56,Passive,PP
14,black,86,Neutral,PP
15,royalblue,56,Aggressive,PP
16,fuchsia,83,Passive,PP
17,fuchsia,43,Passive,PP
18,fuchsia,54,Passive,PP
19,black,45,Neutral,PP
20,fuchsia,50,Passive,PP
21,black,47,Neutral,PP
22,black,47,Neutral,PP
23,fuchsia,50,Passive,PP
24,black,49,Neutral,PP
25,black,47,Neutral,PP
26,fuchsia,60,Passive,PP
27,black,57,Neutral,PP
28,black,63,Neutral,PP
29,royalblue,63,Aggressive,PP
30,royalblue,59,Aggressive,PP
31,royalblue,53,Aggressive,PP
32,fuchsia,54,Passive,PP
33,fuchsia,79,Passive,PP
34,royalblue,48,Aggressive,PP
35,royalblue,70,Aggressive,PP
36,black,54,Neutral,PP
37,royalblue,72,Aggressive,PP
38,royalblue,57,Aggressive,PP
39,fuchsia,55,Passive,PP
40,black,83,Neutral,PP
41,fuchsia,52,Passive,PP
42,royalblue,55,Aggressive,PP
43,black,58,Neutral,PP
44,royalblue,44,Aggressive,PP
45,black,50,Neutral,PP
46,royalblue,55,Aggressive,PP
47,fuchsia,51,Passive,PP
48,fuchsia,41,Passive,PP
49,fuchsia,57,Passive,PP
50,royalblue,44,Aggressive,PP
51,black,43,Neutral,PP
52,royalblue,67,Aggressive,PP
53,royalblue,50,Aggressive,PP
54,fuchsia,54,Passive,PP
55,royalblue,81,Aggressive,PP
56,fuchsia,69,Passive,PP
57,fuchsia,66,Passive,PP
58,fuchsia,41,Passive,PP
59,fuchsia,46,Passive,PP
60,black,85,Neutral,PP
61,black,36,Neutral,PP
62,royalblue,32,Aggressive,PP
63,black,86,Neutral,PP
64,black,83,Neutral,PP
65,black,63,Neutral,PP
66,black,51,Neutral,PP
67,fuchsia,56,Passive,PP
68,black,68,Neutral,PP
69,fuchsia,73,Passive,PP
70,royalblue,72,Aggressive,PP
71,black,38,Neutral,PP
72,black,81,Neutral,PP
73,royalblue,59,Aggressive,PP
74,royalblue,82,Aggressive,PP
75,black,48,Neutral,PP
76,royalblue,50,Aggressive,PP
77,royalblue,83,Aggressive,PP
78,black,51,Neutral,PP
79,black,53,Neutral,PP
80,black,56,Neutral,PP
81,royalblue,58,Aggressive,PP
82,black,54,Neutral,PP
83,black,42,Neutral,PP
84,royalblue,51,Aggressive,PP
85,fuchsia,69,Passive,PP
86,black,44,Neutral,PP
87,fuchsia,56,Passive,PP
88,royalblue,56,Aggressive,PP
89,royalblue,52,Aggressive,PP
90,black,50,Neutral,PP
91,fuchsia,48,Passive,PP
92,black,83,Neutral,PP
93,black,73,Neutral,PP
94,royalblue,46,Aggressive,PP
95,royalblue,80,Aggressive,PP
96,fuchsia,86,Passive,PP
97,fuchsia,77,Passive,PP
98,royalblue,57,Aggressive,PP
99,black,56,Neutral,PP
100,fuchsia,162,Passive,PP
101,fuchsia,88,Passive,PP
102,fuchsia,78,Passive,PP
103,black,58,Neutral,PP
104,black,78,Neutral,PP
105,fuchsia,62,Passive,PP
106,black,33,Neutral,PP
107,fuchsia,55,Passive,PP
108,royalblue,61,Aggressive,PP
109,fuchsia,57,Passive,PP
110,black,56,Neutral,PP
111,black,132,Neutral,PP
112,royalblue,48,Aggressive,PP
113,black,66,Neutral,PP
114,black,53,Neutral,PP
115,royalblue,66,Aggressive,PP
116,black,57,Neutral,PP
117,royalblue,64,Aggressive,PP
118,royalblue,74,Aggressive,PP
119,royalblue,78,Aggressive,PP
120,fuchsia,57,Passive,PP
121,black,58,Neutral,PP
122,fuchsia,56,Passive,PP
123,black,52,Neutral,PP
124,black,93,Neutral,PP
125,royalblue,54,Aggressive,PP
126,black,56,Neutral,PP
127,royalblue,58,Aggressive,PP
128,royalblue,54,Aggressive,PP
129,fuchsia,53,Passive,PP
130,royalblue,41,Aggressive,PP
131,fuchsia,56,Passive,PP
132,black,55,Neutral,PP
133,black,60,Neutral,PP
134,royalblue,61,Aggressive,PP
135,fuchsia,65,Passive,PP
136,royalblue,55,Aggressive,PP
137,fuchsia,60,Passive,PP
138,royalblue,48,Aggressive,PP
139,royalblue,46,Aggressive,PP
140,fuchsia,89,Passive,PP
141,fuchsia,51,Passive,PP
142,black,41,Neutral,PP
143,fuchsia,56,Passive,PP
144,fuchsia,57,Passive,PP
145,black,80,Neutral,PP
146,royalblue,61,Aggressive,PP
147,fuchsia,52,Passive,PP
148,black,46,Neutral,PP
149,royalblue,55,Aggressive,PP
150,black,54,Neutral,PP
151,royalblue,63,Aggressive,PP
152,black,55,Neutral,PP
153,black,48,Neutral,PP
154,black,76,Neutral,PP
155,black,71,Neutral,PP
156,fuchsia,63,Passive,PP
157,fuchsia,56,Passive,PP
158,black,58,Neutral,PP
159,fuchsia,46,Passive,PP
160,royalblue,43,Aggressive,PP
161,black,85,Neutral,PP
162,royalblue,74,Aggressive,PP
163,fuchsia,52,Passive,PP
164,royalblue,56,Aggressive,PP
165,royalblue,57,Aggressive,PP
166,black,69,Neutral,PP
167,black,44,Neutral,PP
168,black,58,Neutral,PP
169,fuchsia,56,Passive,PP
170,royalblue,48,Aggressive,PP
171,royalblue,61,Aggressive,PP
172,fuchsia,42,Passive,PP
173,black,83,Neutral,PP
174,black,58,Neutral,PP
175,black,62,Neutral,PP
176,black,84,Neutral,PP
177,black,60,Neutral,PP
178,fuchsia,83,Passive,PP
179,royalblue,49,Aggressive,PP
180,black,43,Neutral,PP
181,royalblue,55,Aggressive,PP
182,royalblue,64,Aggressive,PP
183,royalblue,58,Aggressive,PP
184,black,41,Neutral,PP
185,fuchsia,50,Passive,PP
186,fuchsia,45,Passive,PP
187,royalblue,59,Aggressive,PP
188,black,67,Neutral,PP
189,royalblue,68,Aggressive,PP
190,royalblue,49,Aggressive,PP
191,black,57,Neutral,PP
192,black,58,Neutral,PP
193,fuchsia,44,Passive,PP
194,black,58,Neutral,PP
