,Winner,Turn,Strategy,Goal
0,fuchsia,63,Passive,LA
1,royalblue,40,Passive,BE
2,royalblue,33,Passive,BE
3,royalblue,56,Passive,BE
4,fuchsia,73,Passive,LA
5,royalblue,49,Passive,BE
6,royalblue,50,Passive,BE
7,fuchsia,59,Passive,LA
8,royalblue,49,Passive,BE
9,royalblue,60,Passive,BE
10,royalblue,36,Passive,BE
11,fuchsia,52,Passive,LA
12,royalblue,59,Passive,BE
13,fuchsia,60,Passive,LA
14,fuchsia,57,Passive,LA
15,royalblue,62,Passive,BE
16,royalblue,50,Passive,BE
17,royalblue,44,Passive,BE
18,fuchsia,54,Passive,LA
19,fuchsia,53,Passive,LA
20,royalblue,47,Passive,BE
21,royalblue,38,Passive,BE
22,royalblue,57,Passive,BE
23,royalblue,49,Passive,BE
24,royalblue,47,Passive,BE
25,fuchsia,59,Passive,LA
26,royalblue,41,Passive,BE
27,black,54,Passive,PP
28,royalblue,54,Passive,BE
29,royalblue,41,Passive,BE
30,royalblue,54,Passive,BE
31,royalblue,62,Passive,BE
32,fuchsia,62,Passive,LA
33,fuchsia,53,Passive,LA
34,fuchsia,46,Passive,LA
35,royalblue,44,Passive,BE
36,fuchsia,62,Passive,LA
37,royalblue,50,Passive,BE
38,fuchsia,52,Passive,LA
39,royalblue,59,Passive,BE
40,fuchsia,70,Passive,LA
41,black,45,Passive,PP
42,black,56,Passive,PP
43,royalblue,64,Passive,BE
44,royalblue,56,Passive,BE
45,royalblue,60,Passive,BE
46,fuchsia,40,Passive,LA
47,royalblue,48,Passive,BE
48,black,43,Passive,PP
49,fuchsia,59,Passive,LA
50,black,65,Passive,PP
51,royalblue,47,Passive,BE
52,fuchsia,54,Passive,LA
53,black,48,Passive,PP
54,black,50,Passive,PP
55,royalblue,39,Passive,BE
56,royalblue,46,Passive,BE
57,fuchsia,62,Passive,LA
58,fuchsia,62,Passive,LA
59,royalblue,62,Passive,BE
60,royalblue,49,Passive,BE
61,fuchsia,58,Passive,LA
62,black,70,Passive,PP
63,fuchsia,63,Passive,LA
64,royalblue,39,Passive,BE
65,royalblue,51,Passive,BE
66,fuchsia,57,Passive,LA
67,fuchsia,49,Passive,LA
68,black,58,Passive,PP
69,royalblue,49,Passive,BE
70,royalblue,57,Passive,BE
71,royalblue,45,Passive,BE
72,black,55,Passive,PP
73,black,57,Passive,PP
74,royalblue,56,Passive,BE
75,royalblue,62,Passive,BE
76,royalblue,44,Passive,BE
77,royalblue,51,Passive,BE
78,fuchsia,47,Passive,LA
79,royalblue,71,Passive,BE
80,royalblue,51,Passive,BE
81,royalblue,52,Passive,BE
82,royalblue,82,Passive,BE
83,fuchsia,49,Passive,LA
84,black,56,Passive,PP
85,royalblue,52,Passive,BE
86,royalblue,49,Passive,BE
87,fuchsia,44,Passive,LA
88,fuchsia,52,Passive,LA
89,royalblue,48,Passive,BE
90,royalblue,78,Passive,BE
91,black,53,Passive,PP
92,fuchsia,67,Passive,LA
93,royalblue,43,Passive,BE
94,fuchsia,54,Passive,LA
95,royalblue,41,Passive,BE
96,fuchsia,59,Passive,LA
97,royalblue,45,Passive,BE
98,black,60,Passive,PP
99,black,51,Passive,PP
100,royalblue,56,Passive,BE
101,royalblue,42,Passive,BE
102,royalblue,54,Passive,BE
103,royalblue,51,Passive,BE
104,royalblue,42,Passive,BE
105,royalblue,61,Passive,BE
106,fuchsia,42,Passive,LA
107,fuchsia,57,Passive,LA
108,black,54,Passive,PP
109,royalblue,55,Passive,BE
110,royalblue,47,Passive,BE
111,royalblue,48,Passive,BE
112,fuchsia,53,Passive,LA
113,royalblue,58,Passive,BE
114,black,55,Passive,PP
115,fuchsia,54,Passive,LA
116,royalblue,39,Passive,BE
117,fuchsia,61,Passive,LA
118,fuchsia,59,Passive,LA
119,fuchsia,72,Passive,LA
120,black,47,Passive,PP
121,royalblue,39,Passive,BE
122,black,42,Passive,PP
123,royalblue,45,Passive,BE
124,royalblue,43,Passive,BE
125,royalblue,48,Passive,BE
126,royalblue,43,Passive,BE
127,royalblue,57,Passive,BE
128,royalblue,50,Passive,BE
129,black,50,Passive,PP
130,black,62,Passive,PP
131,fuchsia,53,Passive,LA
132,royalblue,46,Passive,BE
133,royalblue,61,Passive,BE
134,royalblue,47,Passive,BE
135,royalblue,44,Passive,BE
136,black,62,Passive,PP
137,royalblue,52,Passive,BE
138,royalblue,49,Passive,BE
139,royalblue,32,Passive,BE
140,fuchsia,63,Passive,LA
141,royalblue,49,Passive,BE
142,royalblue,54,Passive,BE
143,black,54,Passive,PP
144,fuchsia,50,Passive,LA
145,black,59,Passive,PP
146,royalblue,58,Passive,BE
147,fuchsia,47,Passive,LA
148,fuchsia,50,Passive,LA
149,fuchsia,63,Passive,LA
150,fuchsia,57,Passive,LA
151,black,64,Passive,PP
152,royalblue,55,Passive,BE
153,fuchsia,54,Passive,LA
154,fuchsia,58,Passive,LA
155,fuchsia,39,Passive,LA
156,fuchsia,60,Passive,LA
157,fuchsia,59,Passive,LA
158,royalblue,48,Passive,BE
159,royalblue,49,Passive,BE
160,royalblue,51,Passive,BE
161,royalblue,43,Passive,BE
162,royalblue,60,Passive,BE
163,royalblue,50,Passive,BE
164,royalblue,61,Passive,BE
165,fuchsia,74,Passive,LA
166,royalblue,38,Passive,BE
167,black,60,Passive,PP
168,fuchsia,51,Passive,LA
169,fuchsia,53,Passive,LA
170,royalblue,51,Passive,BE
171,royalblue,60,Passive,BE
172,royalblue,55,Passive,BE
173,fuchsia,65,Passive,LA
174,royalblue,48,Passive,BE
175,royalblue,52,Passive,BE
176,royalblue,54,Passive,BE
177,royalblue,38,Passive,BE
178,royalblue,46,Passive,BE
179,royalblue,68,Passive,BE
180,black,53,Passive,PP
181,royalblue,52,Passive,BE
182,royalblue,61,Passive,BE
183,fuchsia,70,Passive,LA
184,royalblue,49,Passive,BE
185,royalblue,49,Passive,BE
186,royalblue,89,Passive,BE
187,royalblue,58,Passive,BE
188,black,53,Passive,PP
189,royalblue,48,Passive,BE
190,fuchsia,46,Passive,LA
191,fuchsia,52,Passive,LA
192,fuchsia,55,Passive,LA
193,royalblue,40,Passive,BE
194,royalblue,57,Passive,BE
195,fuchsia,50,Passive,LA
196,royalblue,45,Passive,BE
197,royalblue,52,Passive,BE
198,fuchsia,54,Passive,LA
199,royalblue,39,Passive,BE
200,royalblue,40,Neutral,BE
201,royalblue,37,Neutral,BE
202,royalblue,39,Neutral,BE
203,fuchsia,47,Neutral,LA
